Subdimension,Dimension,Licancabur,El Pino,Santa Rosa,Santa Corina,Los Libertadores,General
1.1 Liderazgo en Actualización de Conocimientos,1. Desarrollo profesional docente,3.6266233766233764,3.2600000000000002,3.3125,3.022222222222222,3,3.3408203125
1.2 Orientación Didáctica Específica,1. Desarrollo profesional docente,3.7104700854700856,3,3.385542168674699,2.6399999999999997,1.5,3.241128010139417
1.3 Institucionalización del Trabajo Colaborativo,1. Desarrollo profesional docente,3.628691983122363,3.229166666666667,3.670731707317073,2.980392156862745,3.25,3.438131313131313
2.1 Pertinencia Territorial,2. Gestión estratégica del currículum,3.347417840375587,2,2.534246575342466,2.0851063829787235,2.5,2.5795297372060855
2.2 Conducción del Sello Institucional,2. Gestión estratégica del currículum,3.661111111111111,2.479166666666667,3.2088607594936707,2.8,2.6666666666666665,3.1243333333333334
2.3 Operacionalización del Perfil de Egreso,2. Gestión estratégica del currículum,3.311111111111111,2.6136363636363638,3.217948717948718,2.847826086956522,3,3.06639566395664
3.1 Articulación Curricular FG-FD,3. Gestión integral técnico-pedagógica,3.5135135135135136,2.7681159420289854,3.3333333333333335,2.652173913043478,2.7777777777777777,3.1499330655957163
"3.2 Diseño, Planificación y Secuencia",3. Gestión integral técnico-pedagógica,3.717037037037037,3.0579710144927534,3.5108225108225106,3.0680272108843534,2.7777777777777777,3.393777777777778
3.3 Monitoreo y Gestión del Proceso,3. Gestión integral técnico-pedagógica,3.80168776371308,2.9290780141843973,3.6506024096385543,3.144927536231884,2.6666666666666665,3.4607464607464604
