Subdimension,Media_General,Rango,SD,N_SLEP_Critico
1.2 Orientación Didáctica Específica,2.847202450828957,2.2104700854700856,0.8538552352434917,1
2.1 Pertinencia Territorial,2.493354159739355,1.347417840375587,0.5341361487464266,2
2.2 Conducción del Sello Institucional,2.963161040787623,1.181944444444444,0.47336129059467014,1
3.3 Monitoreo y Gestión del Proceso,3.2385924780869164,1.1350210970464136,0.47919201340847645,0
"3.2 Diseño, Planificación y Secuencia",3.2263271102028863,0.9392592592592592,0.3795829955271066,0
3.1 Articulación Curricular FG-FD,3.008982895939418,0.8613396004700355,0.38682673664471096,0
2.3 Operacionalización del Perfil de Egreso,2.9981044559305428,0.6974747474747471,0.2813838841293064,0
1.3 Institucionalización del Trabajo Colaborativo,3.3517965027937695,0.6903395504543277,0.29228948175429514,0
1.1 Liderazgo en Actualización de Conocimientos,3.2442691197691196,0.6266233766233764,0.25498525394984756,0
